fips,state,year,race,ent,perm,nperm,stock,invest,pop,ent_rate,perm_rate,nperm_rate,stock_rate,invest_rate,ent_rate_adj,stock_rate_adj,invest_rate_adj
28,Mississippi,2000,total,2005,1603,94,3292,,774353,2.58925838732464,486.938031591738,28.5540704738761,4.25129107784176,,2.39519831619321,4.03069633188627,
28,Mississippi,2000,white,905,671,35,1379,,402973,2.24580803180362,486.584481508339,25.3807106598985,3.42206549818474,,2.08464996639907,3.28228438173278,
28,Mississippi,2000,black,1080,916,58,1881,,349573,3.08948345553003,486.975013290803,30.8346624136098,5.38085035171481,,2.85555066163797,5.08886096932807,
28,Mississippi,2000,aapi,1,4,0,7,,5646,0.177116542685087,571.428571428571,0,1.23981579879561,,0.159502224440057,1.05049130070869,
28,Mississippi,2000,aian,0,0,0,1,,4031,0,0,0,0.248077400148846,,0,0.236420581922609,
28,Mississippi,2000,hispanic,17,11,1,22,,12130,1.40148392415499,500,45.4545454545455,1.81368507831822,,1.26991544400003,1.23651268330736,
29,Missouri,2000,total,7216,4721,788,13181,,1428383,5.0518663411704,358.167058645019,59.7830210150975,9.2279171622737,,4.60004680137376,8.72767664712268,
29,Missouri,2000,white,4711,3023,517,7430,,1143961,4.1181473843951,406.864064602961,69.5827725437416,6.49497666441426,,3.79129544646846,6.15823231911956,
29,Missouri,2000,black,2260,1530,254,5477,,215628,10.481013597492,279.350009129085,46.3757531495344,25.4002263156918,,9.36897848270798,23.9583099433525,
29,Missouri,2000,aapi,46,32,3,31,,17805,2.58354394832912,1032.25806451613,96.7741935483871,1.74108396517832,,2.37515666698094,1.55277222411173,
29,Missouri,2000,aian,13,12,2,31,,7939,1.63748582944955,387.096774193548,64.5161290322581,3.90477390099509,,1.57694343012432,3.68170908849834,
29,Missouri,2000,hispanic,130,91,11,153,,43050,3.01974448315912,594.771241830065,71.8954248366013,3.55400696864112,,2.30105148274111,3.34478141454728,
30,Montana,2000,total,1588,1045,117,2180,,230067,6.90233714526638,479.357798165138,53.6697247706422,9.47550061503823,,6.33786049117745,9.33844019646405,
30,Montana,2000,white,884,641,89,1264,,196754,4.4929200931112,507.120253164557,70.4113924050633,6.42426583449384,,4.09472654937599,6.22470616128925,
30,Montana,2000,black,21,16,2,30,,1608,13.0597014925373,533.333333333333,66.6666666666667,18.6567164179104,,12.0477965722694,17.9256886848605,
30,Montana,2000,aapi,6,3,2,4,,1597,3.75704445835942,750,500,2.50469630557295,,3.70300874753028,2.38710335934303,
30,Montana,2000,aian,515,278,19,715,,22718,22.6692490536139,388.811188811189,26.5734265734266,31.472840919095,,20.8527355180035,31.339737838425,
30,Montana,2000,hispanic,68,43,1,84,,7390,9.20162381596752,511.904761904762,11.9047619047619,11.3667117726658,,7.22980211725017,11.0398024198093,
31,Nebraska,2000,total,3134,1827,20,5674,,450380,6.95856832008526,321.995065209729,3.52485019386676,12.5982503663573,,6.48265669339556,11.6909516613345,
31,Nebraska,2000,white,2127,1275,11,3755,,372979,5.70273393408208,339.547270306258,2.92942743009321,10.0675909367552,,5.27288324449233,9.17866510997853,
31,Nebraska,2000,black,450,245,3,945,,27352,16.4521789997075,259.259259259259,3.17460317460317,34.5495758993858,,15.651885201119,33.4793303378262,
31,Nebraska,2000,aapi,25,10,0,25,,6713,3.72411738417995,400,0,3.72411738417995,,3.61588527324545,3.63562017527665,
31,Nebraska,2000,aian,221,110,5,436,,5722,38.6228591401608,252.293577981651,11.4678899082569,76.1971338692765,,34.7495237879398,72.8214350125826,
31,Nebraska,2000,hispanic,269,152,0,428,,37614,7.15159249215718,355.140186915888,0,11.3787419577817,,7.51719134451391,12.1504785983691,
32,Nevada,2000,total,673,148,21,1615,,516018,1.30421806991229,91.640866873065,13.0030959752322,3.12973578441062,,1.09401719247555,3.00053567667725,
32,Nevada,2000,white,405,104,11,916,,288876,1.40198562705105,113.53711790393,12.0087336244541,3.17091070216979,,1.26003857129118,3.07032775027402,
32,Nevada,2000,black,105,10,1,358,,47088,2.22986748216106,27.9329608938548,2.79329608938548,7.60278627251104,,1.93798999473793,7.3955397294113,
32,Nevada,2000,aapi,14,1,0,31,,24589,0.569360283053398,32.258064516129,0,1.26072634104681,,0.536121325686385,1.20922870543329,
32,Nevada,2000,aian,4,0,0,13,,7080,0.564971751412429,0,0,1.8361581920904,,0.451017536774554,1.88515591021105,
32,Nevada,2000,hispanic,68,24,4,158,,148385,0.45826734508205,151.898734177215,25.3164556962025,1.06479765474947,,0.356790472823717,1.03598504325614,
33,New Hampshire,2000,total,484,351,95,1311,,310352,1.5595195133268,267.734553775744,72.463768115942,4.22423570655256,,1.46630609873279,4.02021366484022,
33,New Hampshire,2000,white,399,295,80,1147,,293348,1.36015926476403,257.192676547515,69.7471665213601,3.91003177113872,,1.28205806653232,3.71136874176339,
33,New Hampshire,2000,black,21,11,3,32,,3525,5.95744680851064,343.75,93.75,9.07801418439716,,6.22435943242955,9.1877165610396,
33,New Hampshire,2000,aapi,2,1,0,3,,4677,0.42762454564892,333.333333333333,0,0.64143681847338,,0.217549075647973,0.69059463945027,
33,New Hampshire,2000,aian,0,0,0,3,,932,0,0,0,3.21888412017167,,0,3.08738876868809,
33,New Hampshire,2000,hispanic,25,21,4,64,,7870,3.17662007623888,328.125,62.5,8.13214739517154,,2.86435302844714,8.30935840094176,
34,New Jersey,2000,total,4654,3599,509,9794,,2088885,2.22798287124471,367.469879518072,51.9705942413723,4.68862575010113,,1.87424062132657,4.59033387231804,
34,New Jersey,2000,white,1305,1018,152,2205,,1266487,1.03040931332102,461.678004535147,68.9342403628118,1.74103642595621,,0.927975937017004,1.69109354767846,
34,New Jersey,2000,black,2479,1912,273,6137,,342851,7.230546213953,311.552875998045,44.4842757047417,17.8999040399474,,5.8406184953167,17.6612607181072,
34,New Jersey,2000,aapi,11,14,1,11,,133523,0.0823828104521318,1272.72727272727,90.9090909090909,0.0823828104521318,,0.0750074274504785,0.0783134112046982,
34,New Jersey,2000,aian,22,18,1,42,,4224,5.20833333333333,428.571428571429,23.8095238095238,9.94318181818182,,4.4089863472725,9.98460981092506,
34,New Jersey,2000,hispanic,352,317,53,747,,341800,1.02984201287303,424.364123159304,70.95046854083,2.18548858981861,,0.977358285072788,2.16299975584084,
